Card,Flaw Name,Flaw Text,CARD MEANING
P🍷,Senseless Power,"Senses are limited in a way that corresponds with the uses of the power; power might flow from the eyes, but leave the parahuman blind while it does so, making enemy dodges more effective, a brute power might grow armor that narrows field of vision or a forcefield that isn't entirely transparent.  A thinker power could involve toggled senses, switching between vision modes, or whisper information in the parahuman's ear, limiting their ability to hear or be aware of their surroundings. ","Upright: A messenger, creative beginnings.

Reversed: Emotional immaturity, creative block."
S🍷,Emotional Shift,"Use of the power shifts the parahuman's personality in one direction. Rage, sadism, greed, arrogance, paranoia, masochism, destructiveness, recklessness or sociopathic tendencies. If the character does not execute the appropriate shift, then they are liable to hit a breaking point, snap, and lose control of themselves for a short duration, carrying out the personality shift in full, often in a highly self-destructive way.","Upright: Romance, charm, knight in shining armor, imagination.

Reversed: Unrealistic, jealousy, moodiness."
Q🍷,Altered Volition,"Using or having the power impacts the character's free will and/or choices. This can be a low-level passive effect, or a more severe effect that takes hold when the power is actively used. Increased suggestibility, lowered ability to make life decisions, or a peculiar individuality that makes working with them harder, or something else as fits the power.","Upright: Emotional security, calm, intuitive, compassionate.

Reversed: Emotional insecurity, co-dependency."
K🍷,Reckless,"The character is perpetually restless, driven by their shard to constant activity. Their sleep may be disturbed, they may only be sated by conflict and action, they may ignore their injured state to hurl themselves into the next fight or action, or they may be compelled to drive even allies to anger with rash words. ","Upright: Emotional balance and control, generosity.

Reversed: Emotional manipulation, volatility."
A✪,Dead Shard,"The character acquired a dead or leftover shard and thus the power has to adjust to conserve energy. Either the power needs an appropriate power source to draw on, has inherent cooldowns, or the power scales down if not given opportunity to recharge.","Upright: Manifestation, new financial opportunity

Reversed: Lost opportunity, lack of planning/foresight."
2✪,Clunky Power,"The power takes an extended period of time to use, and/or is easily interrupted, provoking attacks of opportunity from those nearby.  It may come with increased power, but use of the ability is a strategic decision.  If and when the use of the power is interrupted, it tends to go haywire.","Upright: Balance, adaptability, time management.

Reversed: Disorganization, financial disarray."
3✪,Friendly Fire,"Either the power is hazardous or inconvenient to teammates, or the shard is liable to nudge, bump, or manipulate perceptions to sabotage teamwork. Shaker zones could splash over to hit allies, a blast could ricochet, so on so forth. This may be impossible to plan a team around, if befits the power.","Upright: Teamwork, initial fulfillment, collaboration

Reversed: Lack of teamwork, disregard for skills."
4✪,Hoard,"The power works best, or perhaps only works when the character hoards wealth, luxury goods, or some rare object/material associated with the power or character. Without sufficient stuff, the power grows discontent, inflicting increasing penalties on the cape.","Upright: Control, stability, security, possession.

Reversed: Greed, materialism, self-protection."
6✪,Drained by Power,"Actively using the power leaves the parahuman requiring some sort of recuperation period, or using the power is a sink for some resource in the area the parahuman needs. May build up to a limit, ending in the parahuman being knocked out of the fight or worse. The character's civilian life and secret identity could be hampered due to this drain on them or their resources.","Upright: Generosity, charity, prosperity, sharing.

Reversed: Debt, selfishness, one-sided charity."
7✪,Saepem,"The power is strongly limited in what it can do at once. Duration, durability, area covered, reach or other aspects require tradeoffs in other areas. Alternatively, the power is discouraged from attacking a wider area or more foes, even penalising the cape for doing so.","Upright: Vision, perseverence, profit, reward.

Reversed: Lack of vision, limited success or reward"
8✪,Draconian,"A belief, ideology, or set of expectations that the individual held prior to triggering was exacerbated by the shard. That belief is now worked into the character's rewired psychological makeup, and they either can't understand or suffer extreme dysphoria when others break it. Reacting with disproportionate retribution is enforced lest the power punish the cape.","Upright: Apprenticeship, education, quality.

Reversed: Perfectionism, lacking ambition or focus."
10✪,Disqualitas,"The power hampers everyday life. It's obvious and off putting, it destroys property, it mandates certain environmental conditions for the cape to be comfortable, or negatively affects relationships in an abstract or tangible sense.","Upright: Wealth, inheritance, family, establishment

Reversed: Financial failure, lonliness, loss."
P✪,Unchanging,"The character's body and/or mind were set in stone by the shard, either to save them from their trigger or otherwise. Their mindset runs on tracks, cosmetic changes revert overnight, or damage they suffer leaves permanent marks. Change is possible, but may come at a cost in other things.","Upright: Manifestation, financial opportunity, new role

Reversed: Lack of progress, short-term focus."
S✪,Nepotari,"The power costs something, or it costs more, or the parahuman's control over the way they pay for the power decreases. Tinkers may need more materials, breakers suffer for staying in their altered state, or anything from loss of health and stamina to decreasing sanity","Upright: Efficiency, routine, conservatism.

Reversed: Laziness, boredom, feeling 'stuck'."
Q✪,Unguided,"The cape, unlike most others, lacks one or more of the requisite secondary abilities to properly utilise their power. Shard negligence, intentional sabotage, something else entirely. This is a pyrokinetic without heat resistance, a minion Master who can't properly puppet their minions' alien bodies, a gravity Mover who gets dizzy when flying.","Upright: Practicality, motherly, down to earth.

Reversed: Imbalance in work & family commitments"
A⚔,Muddled Mind,"Something went awry in the cape's mental wiring, either by accident or intention. Their perception of their own power is skewed, leaving them and the people they use their powers on with two vastly different experiences. Alternatively, the cape has a distinct filter in which they view the world, enforced by the power, and anything that breaks that filter hurts them in some fashion.","Upright: Raw power, victory, break-throughs, mental clarity.

Reversed: Confusion, chaos, lack of clarity."
5⚔,Sacrifice,"Use of the power requires the parahuman to either temporarily or permanently give up part of themselves. Basic human capabilities, mental aspects of themselves, body part functionalities or otherwise. Refusal to sacrifice results in weakened or backfiring powers.","Upright: Conflict, tension, loss, defeat, victory at all costs.

Reversed: Open to change, past resentment."
7⚔,Overloaded,"Powers contain great amounts of information, and this cape's mind cannot keep up. The more they use their power, the worse their mental state becomes due to the influx of sensation, information. A balance needs to be struck between how much power they use and how debilitating the overload is for the cape to be fully effective. ","Upright: Betrayal, deception, getting away with something, stealth.

Reversed: Mental challenges, breaking free."
9⚔,Powers Ruined Everything,"Roll on the life disadvantage chart twice.  Such was the fallout of the character's trigger event, the aftermath of their powers, their early cape career, or changes that were provoked by their power.","Upright: Depression, nightmares, anxiety.

Reversed: Hopelessness, depression, torment."
10⚔,Self-Sabotage,"The shard drives the cape to rub in victories, add a touch of flourish, all at the expense of efficiency. A monologuing villain, someone who doesn't feel satisfied with just a victory, et cetera. They tend to give enemies a chance to make a comeback, whether intentionally or otherwise.","Upright: Back-stabbed, defeat, crisis, betrayal, endings.

Reversed: Recovery, regeneration, fear of ruin, inevitable end."
P⚔,Pandemonium,"The power is bright, flashy, and generates a degree of chaos. Use of the power will alert others from a considerable distance. Furthermore, the chaos generated has a tendency to hamper the cape and their allies more than the cape's foes.","Upright: Talkative, curious, mentally restless.

Reversed: Bark without bite, haste making waste, undelivered promises."
Q⚔,Instabilis,"The power is less accurate or harder to control, in either a tangible or abstract sense. The character may not be able to control how much they move, where their blasts go, what they change into, et cetera.","Upright: Quick thinking, organized, perceptive, independent.

Reversed: Overly emotional, bitchy, cold-hearted."
8⚚,Rooted,"This power hangs in a delicate balance, and movement throws it off easily. Some part of their power suffers if the cape does not spend the time and actions to stabilise. A blaster's laser could go awry, a brute's forcefield becomes unstable and weak. In short, the power and movement have a negative relationship.","Upright: Speed, action, air travel, movement, swift change.

Reversed: Delays, frustration, procrastination."
9⚚,Achilles,"The power has an inherent weak point, a flaw in the construction, perhaps due to physiological or mental changes in the parahuman. Keen enemies can suss out this weak spot and exploit it to gain an upper hand in the fight. Forcefields breaking when struck with electricity, shaker areas with inherent gaps in area coverage, et cetera.","Upright: Courage, persistence, test of faith, resilience.

Reversed: On edge, defensive, hesitant, paranoia"
P⚚,Railroaded,"The power grants the parahuman fewer options to solve their problems, or it is actively harder for the parahuman to utilise other options than their main power. Set patterns in power manifestation, costs to swapping between power usages, et cetera.","Upright: Enthusiasm, exploration, discovery, free spirit.

Reversed: Setbacks to new ideas, pessimism, lack of direction"
Fool,Cantentatus,"The entity looked at the individual and it decided to cripple them with power. The player picks a power flaw and gains it, doubled down. ","Upright: Innocence, spontaneity, free spirit, potential.

Reversed: Naivety, foolishness, risk-taking."
Magi,Blind,"The character's human senses are irrevocably warped or damaged, and the power fails to properly compensate. Perhaps their trigger damaged their senses, or an early cape experience left them scarred for life. Either way, their power granted them an alternate mode of sensing, but their new senses have gaps and severe limits.","Upright: Power, skill, concentration, action

Reversed: Manipulation, poor planning, latent talents
"
High Priestess,Odium,"The power has a mind of its own, and that mind doesn't particularly like the parahuman. The power only operates at full power when certain conditions are met.  Hallucinations might point out targets the shard wants the parahuman to assault or kill, a 'viciousness quota' may need to be met, or something else entirely.  Should the parahuman try to settle into a role or a life, the power is liable to shake things up. It's a choice between going off rails to suit the shard or being weaker.","Upright: Intuition, higher powers, mystery, subconscious

Reversed: Hidden agendas, need help to listen to inner voice"
Empress,Rejecto,"The parahuman's power has a lingering defect that is subtle at first, but will gradually worsen and become more pronounced over time with mounting trauma. This quirk acts as a hint to the nature of the power's second trigger, but in all the negative aspects, such as drawing on the drawbacks of the second trigger without any of the potential benefit. There is a -5% chance to second trigger, but should the parahuman second trigger anyways, the 'quirk' worsens drastically into something more calamitous.","Upright: Fertility, femininity, beauty, nature

Reversed: Creative block, dependence on others"
Heirophant,Ugly Implications,"The power has an element at play, either aesthetic or concrete, that easily upsets. It's scary, gross, hampers the ability of others to trust the cape, or more. This pushes public opinion against the cape. If the perception is for a legitimate reason, the power may accentuate the negatives over the positive, while strictly superficial horrifying, gross, or concerning elements will offer the benefits and the drawbacks in equal measure, only for the benefits to drop away as others realize it's all an illusion.","Upright: Religion, group identification, tradition, beliefs

Reversed: Restriction, challenging the status quo"
Wheel of Fortune,Light in the Darkness,"A small light glows, but it's surrounded by a whole lot of dark. Something went terribly wrong. Roll again for a power flaw. Double down on the strength of the resulting flaw. Roll three times for a power perk.  GM vetoes one and player vetoes one. Take remaining pick.","Upright: Good luck, karma, life cycles, destiny, a turning point

Reversed: Bad luck, negative external forces, out of control"
Justice,Subruo,"The power cannot be trusted, with the shard being vicious, even sadistic. It seeks to surround them with conflict and push them to the edge, undermining them in order to achieve that. A power leaving hidden destructive elements in an area, ramping up in a delicate situation, et cetera. Even after the hidden facet is discovered, it may be hard to keep at bay, even changing tacks if necessary. A desperate parahuman is a more interesting parahuman, as far as the shard is concerned.","Upright: Justice, fairness, truth, cause-and-effect, law

Reversed: Unfairness, lack of accountability, dishonesty"
Hanged Man,Impendium,"The character's power is costly to use - Temporary costs in the form of health, stamina, headaches, loss of sanity, or accruing stat penalties. Alternatively, the manton protections afforded to the character are stripped away. This can be lost skill points, memories, damage to personality, scarring, or lost humanity.","Upright: suspension, restriction, letting go, sacrifice

Reversed: Martyrdom, indecision, delay"
Death,Monstrum,"The character changed physically as they got powers, mutating in a fashion fitting for their power. Their power relies on the mutations in some way, the mutations are a target in combat and out of it, the mutations interfere with daily life, or something else entirely.","Upright: Endings, beginnings, change, transformation, transition

Reversed: Resistance to change, unable to move on."
Temperance,Disparitas,"Something went wrong, the power is out of balance, and it runs the risk of going out of control. The character has some level of control over this balance in an abstract fashion - compulsions to follow, rules about how the power can be used, et cetera. Failing to adhere to these rules means a chance of disaster, the magnitude of which increases with successive failures. Mutations, psychosis, collateral damage, loss of control are all possible.","Upright: Balance, moderation, patience, purpose

Reversed: Imbalance, excess, lack of long-term vision"
Devil,Incubus,"The power feeds on conflict, and because of a weakness or an opening in the character, the shard has figured out a way to haunt the character, taking some control. The parahuman has a need to do something horrible on a regular basis or suffer.  Alternatively, the character has a track of 'Incubus tokens' that can be reduced by giving the shard control over the character to cause conflict. Letting the token track fill up causes the character to black out and affords the shard a chance to cause chaos - a crime spree, a power-assisted rampage, et cetera.","Upright: Bondage, addiction, sexualism, materialism

Reversed: Detachment, breaking free, power reclaimed"
Tower,Laqueus,"Something terrible about the power is hidden from the parahuman. It might be killing them slowly, have a deleterious side effect that only becomes apparent once it's too late, cause an unknown psychological issue or issues, or something else entirely. Either way, the power is subtle in its malice, and will wait for the right moment to spring the deadly surprise on the parahuman. ","Upright: Disaster, upheaval, sudden change, revelation

Reversed: Avoiding disaster, fear of change"
Star,Fatuus,"The character was supposed to get another power, an abstract one, but it didn’t take. Something factored in, shard was broken, or was meant for another. Breaker, Mover, Stranger, or Shaker power. Insomnia, obsession, low-level hallucinations, or a gradual transition into an alien emotional state with skewed priorities. When stressed in an abstract, contextual way, the power sparks, kicking into life in uncontrolled or destructive ways. ","Upright: Hope, spirituality, renewal, serenity

Reversed: Lack of faith, despair, discouragement"
Moon,Apocrypha,"The character was supposed to get another power, a mental one, but it didn’t take. Their mental state changed mid-trigger or the shard had something tacked on. Thinker, Tinker, Master. Crazed fits, paranoia, hallucinations, compulsions, incapable of looking after themselves, or a gradual psychological shifts into something alien. When stressed in a mental fashion, the power sparks, kicking into life in uncontrolled or destructive ways.","Upright: Illusion, fear, anxiety, insecurity, subconscious

Reversed: Release of fear, unhappiness, confusion"
Sun,Reus,"The character was supposed to get a physical power, but it didn’t take. Dead shard, sudden shift in physical condition, hard to say. Brute, Changer, Striker, or Blaster. A violent temper, bottomless appetite, dangerously accelerated metabolism, alien internal physiology, or gradual mutations. When the character’s temper flares up or when physically stressed, the power sparks, kicking into life in uncontrolled and unpredictable ways.","Upright: Fun, warmth, success, positivity, vitality

Reversed: Temporary depression, lack of success"
Judgement,Diabolus,"The power crafts an alternate self that mirrors the parahuman for the sole purpose of tormenting them. Think Jekyll and Hyde, though it may skew more physical or mental depending on the power. Whatever the parahuman builds or works toward, this alternate self works to take down, counteract, destroy. In short, the power makes them their own worst enemy.","Upright: Judgement, rebirth, inner calling, absolution

Reversed: Self doubt, refusal to look inward"
