Card,Perk Name,Perk Text,CARD MEANING
K🍷,Natural Leader,"The character has a certain commanding presence or skill to them that lends itself well to leadership. Higher-quality underlings, increased numbers of mooks, a loyal and/or competent assistant, or otherwise as fits the character. Could alternatively increase their ability to lead a group of player characters rather than mooks.","Upright: Emotional balance and control, generosity.

Reversed: Emotional manipulation, volatility."
A✪,Wealthy,"The character has access to a deep reserve of money, but it's not entirely up to them how its used. Depending on what the money is - trust fund, drug income, job bonuses - it becomes easier or harder to utilise for various purchases depending on how suitable they are for the specific type of wealth. ","Upright: Manifestation, new financial opportunity

Reversed: Lost opportunity, lack of planning/foresight."
2✪,Job Security,"Whether by legitimate means or otherwise, the character has secured themselves in a high quality job. This job allows them to draw a sizable income without being stressed out, and yet pursue a cape life on the side. May include non-job situations like someone pulling in money from a lawsuit. If this does not fit, the character may be able to call in favours due to their work environment or gain resources to help in their cape life.","Upright: Balance, adaptability, time management.

Reversed: Disorganization, financial disarray."
4✪,Maintenance,"The character habitually cleans their equipment, has an eye for high-quality goods, or has skill in keeping their stuff in good shape. In any case, the character's equipment is top of the line, tougher, harder to snatch and disarm. Alternatively, the character is able replace lost gear with stuff of similar quality.","Upright: Control, stability, security, possession.

Reversed: Greed, materialism, self-protection."
5✪,Efficient Operator,"The character can do more with less. Either their gear is custom-made and they're more familiar with using it, their past gives them a measure of skill in making the most out of the resources they have, or they can operate effectively alone if necessary.","Upright: Isolation, insecurity, worry, financial loss.

Reversed: Recovery, spiritual poverty."
6✪,Loophole,"The character understands the systems and rules which their city and society run on, and can exploit that. Using this, they are, to an extent, able to sculpt their own reputation, and perhaps even others'. Shaking an association they would rather not have, shifting the blame to other possible targets, et cetera.","Upright: Generosity, charity, prosperity, sharing.

Reversed: Debt, selfishness, one-sided charity."
7✪,Investment,"The character has positioned themselves well to reap later returns.  Favors are owed, money invested, inheritances due. They may be able to invest resources - mostly cash - and convert that to a greater amount of assets that would be useful for the cape's life. Guns, costumes, cash, other assets that can be discussed with the GM.","Upright: Vision, perseverence, profit, reward.

Reversed: Lack of vision, limited success or reward"
8✪,Cape Background,"The character knew an individual in the cape scene while growing up or for a major part of their life. They have superior knowledge of how to outfit their cape life, have a favour or two with a NPC cape, know a few secrets relevant to cape life, or something else.","Upright: Apprenticeship, education, quality.

Reversed: Perfectionism, lacking ambition or focus."
K✪,Storefront,"The character, by whatever means suits them, is in possession of some form of business endeavor. This can be wholly civilian, or based on the characteristics of their power. While this is a potential weakness an enemy can target, the character reaps a number of financial, material, and social benefits for upkeeping this business.","Upright: Security, power, control, discipline, abundance.

Reversed: Authoritative, controlling, domineering."
A⚔,Laurel,"When the character wins, the character wins big. At the point of a major success, the character may gain an additional minor reward, depending on the nature of the success. A public victory such as taking down a major villain, for example, could result in gaining a monetary reward as donations or bounty money, while successfully creating a group could draw followers.","Upright: Raw power, victory, break-throughs, mental clarity.

Reversed: Confusion, chaos, lack of clarity."
2⚔,Unpredictable,"The character has a complicated mentality, and this is channeled positively, so to speak. It’s harder to get a read on this character, whether with mundane skill or powers. Alternatively, the character has a presence to them that can be used to threaten and unnerve, or in the off chance they meet those with similarly twisted mindsets, inspire and lead.","Upright: Indecision, choices, truce, stalemates, blocked emotion.

Reversed: Indecision, confusion, information overload."
4⚔,Headquarters,"The character has a superior headquarters, bought, found, or inherited. It is outfitted with some, if not all of the following: barracks for underlings, workshops, a business front, security measures, top-notch computer hardware, et cetera. They may alternatively be on the way to secure such a headquarters of their choice. ","Upright: Contemplation, recuperation, passivity, relaxation.

Reversed: Restlessness, burn-out, lack of progress."
S⚔,Strider,"The character covers ground where it counts. They may have a deeper knowledge of how to move about a city, a strong grasp of back alleys and shortcuts, training in long-distance chases, experience in getting around and above obstacles, or otherwise. Usually benefits in an extended chase, race, or other similar events.","Upright: Opinionated, hasty, action-oriented, communicative.

Reversed: Scattered thought, disregard for consequences."
A⚚,Masterworker,"Most people don't have the time or motivation to create, but this character is not most people. In one field, they have both talent and practice, and are thus able to create something of moderate value. Custom-fitted armour, artwork, et cetera. The specifics of what they can make depends on the character and their history.","Upright: Inspiration, power, creation

Reversed: Delays, lack of motivation, burdens."
3⚚,Geared Up,"This character joins the fray with pretty much all the gear someone could want, and can even supply underlings or team members. They could have a supplier of weaponry - even illegal firearms - legacy gear from a dead cape, access to some sort of warehouse of equipment, or otherwise. ","Upright: Enterprise, expansion, foresight.

Reversed: Delays, obstacles to long-term plans."
4⚚,Celebrated,"Through reputation, luck, old contacts or natural charisma, the character has a larger-than-usual collection of fans. Generally, these fans are 'useless mooks', with the caveat that they are almost insanely loyal. They are likely to attempt to support the character where they can, be it a free car ride or stalking an enemy. Recruiting from this pool of fans is far easier than recruiting off the street.","Upright: Celebration, home, community.

Reversed: Breakdown in communication, transitions."
5⚚,Dealmaker,"The character maintains a business relationship with another organisation, faction, or powerful individual. Through this, they may be afforded a level of renown in specific circles, be able to purchase highly specific goods, maintain some level of entrepreneur income.","Upright: Disagreement, competition, strife, tension and conflict.

Reversed: Conflict avoidance, diversity, unhappy compromise."
6⚚,Silver Lining,"The character bounces back from their worst moments to a degree, softening the blows. Upon an utter loss, hitting their darkest hour, et cetera, the character can come across a minor bonus to build themselves back up. This benefit generally does not help revert the loss, acting as something of a consolation prize.","Upright: Public recognition, victory, self-confidence.

Reversed: Egotism, disrepute, lack of confidence, fall from grace."
8⚚,Auriga,"The character has easy, if not free access to an exotic vehicle of their choice. Common choices are mil-spec trucks, helicopters, yachts, though the character's backstory must fit their vehicle of choice. Access to this vehicle may also come with the requisite skill or a mook who can drive the vehicle.","Upright: Speed, action, air travel, movement, swift change.

Reversed: Delays, frustration, procrastination."
10⚚,Famous Deed,"Something the character was involved in has become a point of notability or notoriety. They may have defeated a notable cape early in their career, had a reputation in their career, et cetera. This grants them some reputation and cachet with low-level rabble and mooks, dealing with crowds. ","Upright: Burden, responsibility, hard work and stress.

Reversed: taking on too much, avoiding responsibility."
S⚚,Jack of Trades,"The character has access to resources that enhance their learning new skills, such as tutors, a stock of books, or even just innate potential. Starting new mental tasks is easier for them, they're rewarded for knowing a variety of disparate subjects, or they can easily pick up a low-level understanding of more topics and skills. ","Upright: Energy, passion, lust, action, adventure, impulsiveness.

Reversed: Haste, scattered energy, frustration"
Q⚚,Beacon,"Most people muddle along in life, but not this character. They are a source of light and energy, the natural ""heart"" of a group. They may gain benefits when dealing with groups of people, be able to reconcile two conflicting opinions in a team, or more as fits the character. The loss of this character can galvanise allies against whatever took them down.","Upright: Exuberance, warmth, vibrancy, determination

Reversed: Shrinking violet, aggressive, demanding"
Fool,Vir Fortis,The character had potential and capitalized on it. The player picks a life perk and gains it.,"Upright: Innocence, spontaneity, free spirit, potential.

Reversed: Naivety, foolishness, risk-taking."
Magi,Deep Thought,"A singular field has captured the character's attention, and within this field their skills advance fast and far. This can reward the character for focusing their mental efforts, or grant them resources to train up specific skills in their fields, et cetera. In short, the character learns narrow but deep.","Upright: Power, skill, concentration, action

Reversed: Manipulation, poor planning, latent talents"
Empress,Necessitudines,"The character maintains favors they can call in with low level organizations or a single favor with a high level organization. Smaller favours range from equipment, assets, limited information, minor allies, while high level favours can be anything from a secure bunker to a strike team to rare Tinkertech. Can include a way to gain more favours by working to further the organisation's goals. ","Upright: Fertility, femininity, beauty, nature

Reversed: Creative block, dependence on others"
Strength,Determinator,"Where others may give up or break down, this character just refuses to let bad shit stop them. At the darkest moments, they're the one who makes the inspiring speeches, gets the group back on its feet. They may cultivate a reputation for being reliable, someone who will pull through in whatever situation is thrown at them.","Upright: Strength, courage, patience, control, compassion

Reversed: Weakness, self-doubt, lack of discipline"
Wheel of Fortune,Icarus' Rise,"Like Icarus with his wings, rising too high too fast comes at a cost. Roll again for life perk. Double down on the strength of that perk. Roll three times for a life disadvantage. GM vetoes one and player vetoes one. Take remaining pick.","Upright: Good luck, karma, life cycles, destiny, a turning point

Reversed: Bad luck, negative external forces, out of control"
Hanged Man,Novus,"The character was once offered a different path in life, and that option still remains open. After a critical moment in their story, they may change a major facet of their identity - adopt a new cape persona and alignment, for example. This is not a perfect change, with the nature of what they were and what they now are informing any potential downsides to the new identity. An ex-villain, for example, would be more heavily restricted than a new heroic cape.","Upright: suspension, restriction, letting go, sacrifice

Reversed: Martyrdom, indecision, delay"
Death,Transgressio,"The character had, is undergoing, or is due to undergo a transition in life, leaving behind their old life to start anew. An old job, a family with assets, education, training, something was given up for their new lifestyle. Their old skills, contacts, assets, or training come into play in their new life. Some ways this manifests are income, loyal contacts or goons, unique assets, skill pips.","Upright: Endings, beginnings, change, transformation, transition

Reversed: Resistance to change, unable to move on."
Temperance,Salutaris,"The character has a grasp of the troubles that plague people, and something of a handle on their own issues. They can work off their own life flaws, eventually removing it. They may also be able to exacerbate or ameliorate the flaws of others. Requires GM approval.","Upright: Balance, moderation, patience, purpose

Reversed: Imbalance, excess, lack of long-term vision"
Devil,Germen,"The character has an ally, though not a strong one. This might be a sidekick or unpowered ally but will accompany the character. They may have power or life perks and/or flaws. Should the primary character perish or be taken out of combat, the player may, at GM's discretion, resume play as their 'bud'.","Upright: Bondage, addiction, sexualism, materialism

Reversed: Detachment, breaking free, power reclaimed"
Tower,Vindictae,"After suffering a major loss, the character bounces back hard and with a vengeance. They scrounge up assets specifically slated for a second encounter, locate allies to help with the rematch, learn of weaknesses that they could exploit, or something else. In any case, the character is tenacious and can exact vengeance easier.","Upright: Disaster, upheaval, sudden change, revelation

Reversed: Avoiding disaster, fear of change"
Star,Anima,"The character's goals are clear, their path is lit, and their beliefs are aligned. When working towards a milestone goal, the character is more confident, convincing, driven to succeed, amongst other possible minor benefits. Alternatively, they gain more control over the rewards they gain from completing a milestone, rolling two life perks and picking one.","Upright: Hope, spirituality, renewal, serenity

Reversed: Lack of faith, despair, discouragement"
Moon,Psyche,"The character understands the mind, theirs and others, and they can put that to great effect. They may be able to glean clues into the insecurities and breaking points of others, have a safety net for their own rock-bottom moments, or otherwise as fits the character.","Upright: Illusion, fear, anxiety, insecurity, subconscious

Reversed: Release of fear, unhappiness, confusion"
Sun,Soma,"The character is in their physical prime, and they use this to great effect. This allows the character to carry out physical feats as appropriate to a selected stat. Lifting massive weights, long-distance sprints, deft manuveurs, et cetera. Utilising these feats strains the character, but recovery is relatively fast. ","Upright: Fun, warmth, success, positivity, vitality

Reversed: Temporary depression, lack of success"
Judgement,Renovamen,"Death is not the end, but the start of a new story. At the character's death, the player gets a new character which gains powers and picks up the mantle of their old one. A bud, a triggered minion, a family member, significant other, et cetera. This new character inherits some benefits, such as money, some connections, but may also need to deal with the responsibilities their progenitor left behind.","Upright: Judgement, rebirth, inner calling, absolution

Reversed: Self doubt, refusal to look inward"
