Card,Perk Name,Perk Text,CARD MEANING
P🍷,Rainment,The power has lent itself to the creation of armor or costumes. The cape can use their power to augment their current costume or has figured out a way to cloak themselves in their power defensively.,"Upright: A messenger, creative beginnings.

Reversed: Emotional immaturity, creative block."
S🍷,Shardsense,"The parahuman has the ability to sense other parahumans or gain information about other powers. Multiple possibilities exist: The parahuman could have a 'radar' of sorts for other capes or power manifestations; the parahuman may be able to see phantom images or other cues that clue them in on power information; or the parahuman can glean deeper insight into trigger, personality, or shard secrets with time spent. May be able to differentiate between a standard and a second trigger power.","Upright: Romance, charm, knight in shining armor, imagination.

Reversed: Unrealistic, jealousy, moodiness."
Q🍷,Alter Ego,"The parahuman's power altered their head and personality in a way, and the parahuman now has multiple personalities or dispositions, in a strictly positive manner. It may be that the parahuman becomes a different individual on donning their costume, gaining benefits to fighting as a cape. It often means that the parahuman can switch between two dispositions or personalities in combat, each with their own mental boons.","Upright: Emotional security, calm, intuitive, compassionate.

Reversed: Emotional insecurity, co-dependency."
K🍷,Supportive,"The power has a secondary use which is mildly useful on its own but is best used to benefit or support allies. Healing, buffs, granting minor support-oriented powers to allies or otherwise.","Upright: Emotional balance and control, generosity.

Reversed: Emotional manipulation, volatility."
2✪,One-Two,"The primary power either sets up the enemy for follow-up hits, or it is split into two aspects, with one aspect priming the other for added effect.","Upright: Balance, adaptability, time management.

Reversed: Disorganization, financial disarray."
3✪,Teamwork,"The power lends itself better to working with teammates. In some facet, the power excels when creating or exploiting opportunities with allies, be it opening weaknesses in foes for allies to exploit or granting mass buffs.","Upright: Teamwork, initial fulfillment, collaboration

Reversed: Lack of teamwork, disregard for skills."
6✪,Sweep,"The power gains a secondary benefit or power that gives the parahuman an ability that covers a lot of area. A strike could ripple outwards as a wave of force, a blast could split into a barrage that strikes multiple foes, et cetera.","Upright: Generosity, charity, prosperity, sharing.

Reversed: Debt, selfishness, one-sided charity."
7✪,Expanse,"The scope of the power is increased, extending the range, the area covered, or the number of targets affected. This comes at the cost of accuracy, power, efficiency, or something else entirely.","Upright: Vision, perseverence, profit, reward.

Reversed: Lack of vision, limited success or reward"
9✪,Permanence,"The parahuman's power has a beneficial relationship with time, either growing in strength as the parahuman settles in one place or granting the parahuman's abilities a longer lasting benefit. Either the power rewards the parahuman for staying in one location - be it a territory, or a select area during a fight - or the parahuman can fortify and create things to last.","Upright: Gratitude, luxury, self-sufficiency.

Reversed: Over-investment in work, financial setbacks."
10✪,Qualitas,"The power lends itself well to noncombat or mundane exploits and activity. It can be used to generate wealth, they might not need to eat or sleep, or other out of combat power manifestations. Generally physical benefits come with physical powers and mental for mental.","Upright: Wealth, inheritance, family, establishment

Reversed: Financial failure, lonliness, loss."
S✪,Control,"The parahuman has more control over the way they pay for their use of power, granting them efficiency by reducing power, scope, accuracy, or otherwise.","Upright: Efficiency, routine, conservatism.

Reversed: Laziness, boredom, feeling 'stuck'."
K✪,Shell,"The power offers some defensive benefit. This may be a very broad/omnipresent but exceedingly minor defensive application or a secondary Brute power. Whatever the case, it's a minor augmentation, but it's low-effort and low-cost to utilize.","Upright: Security, power, control, discipline, abundance.

Reversed: Authoritative, controlling, domineering."
A⚔,Counter,"The power lends itself to setting up strong defensive manifestations tailored to specific types of attack. Directional walls of force that block attacks, mental barriers they can erect against mental maluses, et cetera. Manifestations are actively used in reaction to situations that the parahuman finds themself in.","Upright: Raw power, victory, break-throughs, mental clarity.

Reversed: Confusion, chaos, lack of clarity."
2⚔,Charge,"The power can be charged up, enhancing it in one major respect, whether it be range, breadth, versatility (ie. can pick from options while charging), quality of special effects, or raw power. Charging means the parahuman can spend time building up temporary power to spend on temporary effects.","Upright: Indecision, choices, truce, stalemates, blocked emotion.

Reversed: Indecision, confusion, information overload."
4⚔,Absorption,"The power allows the parahuman to take in physical or psychic energies of a specific type, depending on what the parahuman's power is and what it focuses on. The parahuman can then expend those energies for an effect. These energies can be produced by other parahumans or by this power.","Upright: Contemplation, recuperation, passivity, relaxation.

Reversed: Restlessness, burn-out, lack of progress."
5⚔,Accantus,"The parahuman gains the ability to push their power, increasing the offensive applications of the power at the cost of secondary powers or secondary applications. Pushing in this way may have an action cost, or may require other prerequisites to be met.","Upright: Conflict, tension, loss, defeat, victory at all costs.

Reversed: Open to change, past resentment."
6⚔,Ebb and Flow,"The parahuman's power alternates between states on a cyclical basis, whether controlled by the cape themself or external factors. Each part of their power is occasionally stronger than usual, coming at the cost of being predictable and having parts be weaker than usual. This may be an always-on state or a toggleable mode they can force their power into.","Upright: Regretful but necessary transition, rite of passage.

Reversed: Cannot move on, carrying baggage"
7⚔,Shroud,"The character picked up an augmentation to their power that aids in concealment, infiltration, or subterfuge, or they gained a minor secondary Stranger power. The power is minor but easy to use.","Upright: Betrayal, deception, getting away with something, stealth.

Reversed: Mental challenges, breaking free.

"
8⚔,Solitude,"The parahuman's power works better when away from other people, serving as sort of a sniper role. Alternatively, the power grows to allow the parahuman to remove themselves in some small manner from combat, repositioning to a more advantageous spot away from the main fray.","Upright: Isolation, self-imposed restriction.

Reversed: Open to new perspectives, release."
9⚔,Butcher,"The shard equipped the character to leave opponents hurt in the worst ways possible developing a brutal, savage augmentation to the power. The power effectively twists the knife with offensive applications giving lasting effects.
Alternatively, the character gains a power-assisted proficiency with a brutal, savage implement that functions as an atypical weapon. Chainsaws, sewing needles, etcetera.","Upright: Depression, nightmares, anxiety.

Reversed: Hopelessness, depression, torment."
Q⚔,Focus,"The character may focus their power to gain greater accuracy, either in a tangible sense or an abstract one. This comes at a cost, either to power, scope and such or requiring actions to set up.","Upright: Quick thinking, organized, perceptive, independent.

Reversed: Overly emotional, bitchy, cold-hearted."
K⚔,True Use,"The cape has learnt a deeper secret to their power, allowing them to tap into the shard's purpose. Whatever they gain from this is not a card that can be played often - massive costs, specific conditions, an easily interrupted process, or even a purpose not suited to direct combat - but it can generally be repeated to some extent. Each use of this ability is generally momentous.","Upright: Clear thought, intellectual power, authority, truth.

Reversed: Manipulative, tyrannical, abusive."
2⚚,Evolution,"The parahuman discovers that their power changes over time in a combat scenario, related to the parts of the power they utilise. This change is temporary, with the power reverting back to the original form when the encounter is over. This does not make the power change classifications or gain major boosts, simply shifting power from one part to another. A kinetic manipulator focusing on his forceblasts in a fight could find that they become more damaging, but his pulse jumps are reduced in height.","Upright: Progress, decisions, discovery.

Reversed: Fear of unknown, lack of planning."
3⚚,Visionary,"Patience and a good sense for risk-reward become part and parcel of the power. The power can set delayed effects, costing them in the now for a bigger reward in the future. The longer an effect is delayed, the larger the payoff becomes. Delayed power effects have some sort of interactive aspect where the foe can avoid or subdue the planted power effect.","Upright: Enterprise, expansion, foresight.

Reversed: Delays, obstacles to long-term plans."
6⚚,Intimidation,"Whether by bent of flashy illusions or actual destructiveness, the parahuman's power lends itself to flashy and loud displays. They gain a 'shock and awe' ability, allowing them to disorientate and strike fear into those who view their displays.","Upright: Public recognition, victory, self-confidence.

Reversed: Egotism, disrepute, lack of confidence, fall from grace."
8⚚,Wing,"Wing. The power has an aspect that lends itself to mobility, or the character manifests a secondary minor Mover power. This is typically low effort to utilize and doesn't have a real drawback.","Upright: Speed, action, air travel, movement, swift change.

Reversed: Delays, frustration, procrastination."
9⚚,Unbreakable,"The power lends the parahuman some form of highly limited but incredible amount of ability to defend and ignore deleterious effects. The parahuman can tap this minor power to break through a tough battle line, defend themselves against major harm, or other applications.","Upright: Courage, persistence, test of faith, resilience.

Reversed: On edge, defensive, hesitant, paranoia"
P⚚,Instrumenta,"The character gains a toolbox of options related to their main power that they can tap on. These options may not be as strong as the main power, or are less accurate, harder to control, et cetera. Added options may be of different classifications or elements adjacent to the main power's typing.","Upright: Enthusiasm, exploration, discovery, free spirit.

Reversed: Setbacks to new ideas, pessimism, lack of direction"
S⚚,Traveler,"The power has a special relationship with movement, driving the parahuman to a beneficial restlessness. Additional benefits may be unlocked if the parahuman spends actions moving to specific locations, or the power may facilitate safer traversal of a dangerous battlefield, or the power has an aspect that is only apparent as the parahuman is in motion.","Upright: Energy, passion, lust, action, adventure, impulsiveness.

Reversed: Haste, scattered energy, frustration"
Q⚚,Shattered Chains,"The power gains strength when it's pushed to its limits. After conditions are met, they can access strength proportional to the difficulty of the conditions, even going Breaker as power overwhelms their physical form. This strength is temporary but is a significant boost to their standard combat applications.","Upright: Exuberance, warmth, vibrancy, determination

Reversed: Shrinking violet, aggressive, demanding"
K⚚,Opportunist,"The power lends itself to the golden moment, prompting the cape in situations where they might either create or capitalize on situations that would benefit them.
This can operate on a micro or macro scale, with more potent possibilities being difficult to acquire or providing regular access to more minor advantages.","Upright: Natural born leader, vision, entrepreneur, honor

Reversed: Impulsiveness, high expectations"
Fool,Assertor,"When the shards were distributed, the entity turned its eye on the character, giving them a power very fitting to them. The player picks a power perk and gains it.","Upright: Innocence, spontaneity, free spirit, potential.

Reversed: Naivety, foolishness, risk-taking."
High Priestess,Communio,"The character has a dialogue going with the thing in their head. It has requirements, things it would like the character to do. The character gets a few 'quests', typically three to five, abstact goals with increasing difficulty which rewards the individual with small but permanent boosts to their primary power.","Upright: Intuition, higher powers, mystery, subconscious

Reversed: Hidden agendas, need help to listen to inner voice"
"Chariot
",Conquest,"The cape's power swells as they fight. The change is typically minor at first, but as time passes they become more and more noticeable. They may unlock minor powers that increase their combat capability, their base power may swell in potency and variety. Accessing these benefits is not free, requiring the cape to invest power for the future or meet certain conditions.","Upright: Control, willpower, victory, assertion, determination

Reversed: Lack of control and direction, aggression"
Strength,Noctis,"The human body is limited, weak, and the shard disagrees with that design. One or more basic human limitations - sleep, food, drink, flesh, et cetera - fall away, replaced and/or supplanted by the power. This is strictly beneficial, allowing the cape to survive situations a human would not be able to, giving them more time in the day, amongst other benefits associated with the specific limit removed.","Upright: Strength, courage, patience, control, compassion

Reversed: Weakness, self-doubt, lack of discipline"
Wheel of Fortune,Wild Success,"With great power comes great responsibility. Roll again for power perk. Double down on the strength of that perk. Roll three times for a power flaw, GM vetoes one and player vetoes one. Take remaining pick.","Upright: Good luck, karma, life cycles, destiny, a turning point

Reversed: Bad luck, negative external forces, out of control"
Justice,Carnificina,"The power feeds off an unusual source for energy, physical or esoteric, gaining temporary boosts when the parahuman consumes or absorbs such things. A pyrokinetic could eat coal, a shadow shaker could feed off bad dreams. The amount of power the parahuman gains from this source scales with the difficulty of obtaining said 'food' source. The parahuman may consume this 'food' during combat for a quick boost, but it leaves them worn out, similar to how a drug temporarily boosts a person's ability.","Upright: Justice, fairness, truth, cause-and-effect, law

Reversed: Unfairness, lack of accountability, dishonesty"
Hanged Man,Excessus,"The power has a unique relation to death and the dead. Corpses as conduits for power, gaining knowledge related to a dead body, being affected and twisted by the presence of death, or something else fitting the power. Generally not a card to play lightly, with permanent power or social consequences.","Upright: suspension, restriction, letting go, sacrifice

Reversed: Martyrdom, indecision, delay"
Death,Astrictum,"The cape knows that they could dig deeper into their power, harness more of it. A very tempting prospect, but with this expansion comes a price. At a moment of their choosing, the character can choose to take a deal with their shard, so to speak, gaining a permanent power expansion. This comes with a major weakness, binding compulsion, or some other severe flaw associated with the boost they got and their shard.","Upright: Endings, beginnings, change, transformation, transition

Reversed: Resistance to change, unable to move on."
Temperance,Alumnor,"The parahuman's power reaps benefits from being around others - allowing others to act as conduits for the parahuman's power, utilising their power to attract/control followers, or even accruing power by interacting with the unpowered. In short, the parahuman gains benefits from being surrounded by unpowered allies.","Upright: Balance, moderation, patience, purpose

Reversed: Imbalance, excess, lack of long-term vision"
Devil,Profundum,"The character can maintain a deep, intimate connection with the shard; they want what it wants, and the pair can be truly frightening when working in concert. Roll three perks. The character has some control over how they access these perks, but typically can only access one at full power, or multiple at lowered power.","Upright: Bondage, addiction, sexualism, materialism

Reversed: Detachment, breaking free, power reclaimed"
Tower,Vastare,"The power has multiple manifestations, each with something changed. The power settles into one of these options on the start of the fight, through a cost, randomness, or by pure choice. If the power is not suited to this it is amped up in terms of chaos and raw destruction.","Upright: Disaster, upheaval, sudden change, revelation

Reversed: Avoiding disaster, fear of change"
Star,Umbra,"The character picked up a secondary power, leaning more toward cunning or trickery. As such, it could be a stranger, trump, mover, or changer power. This power serves as something complementary to the main power.","Upright: Hope, spirituality, renewal, serenity

Reversed: Lack of faith, despair, discouragement"
Moon,Minerva,"The character picked up a secondary power, typically emphasizing control, craft, or knowledge. As such, it could be a master, tinker, thinker, or breaker power. This power serves as something complementary to the main power.","Upright: Illusion, fear, anxiety, insecurity, subconscious

Reversed: Release of fear, unhappiness, confusion"
Sun,Ferocia,"The character picked up a secondary power, typically emphasizing power, offense, and battle.  As such, it could be a brute, blaster, shaker, or striker power. This power serves as something complementary to the main power","Upright: Fun, warmth, success, positivity, vitality

Reversed: Temporary depression, lack of success"
Judgement,Ascendo,"The character has more potential for a second trigger than most others. Signs of this begin to manifest even without the trauma of a second trigger, granting minor abilities that hint towards the nature of the second trigger power. If and when the character would die or be irrevocably disabled, they have a flat 50-50 chance to second trigger instead. This does not occur if the situation was intentionally engineered by the character or arranged by the player.","Upright: Judgement, rebirth, inner calling, absolution

Reversed: Self doubt, refusal to look inward"
