Card,Flaw Name,Flaw Text,CARD MEANING
P🍷,Tied Down,"The character has a dependent whom they have to factor into every aspect of their life. A child too young to do anything for themself, a relative with severe mental issues, a disabled grandparent, something along those lines. This dependent is a sink for their money, time, and a weakness in case the character is targeted. Giving up on the dependent is not an option, either due to familial obligation, emotional ties, or otherwise. Losing this dependent inflicts severe penalties.","Upright: A messenger, creative beginnings.

Reversed: Emotional immaturity, creative block."
S🍷,Envy,"Character burns with resentment for someone else. They live in a shadow, and events conspire to keep them there while another individual thrives. Relegated to second in command, the lion's share of the rewards reaped by another. Removing the other guy is the only solution, and it isn't easy - the other person could be well protected, overpowering, or connected in a way that the character comes into conflict with themselves over removing the target.","Upright: Romance, charm, knight in shining armor, imagination.

Reversed: Unrealistic, jealousy, moodiness."
Q🍷,Cultural Gap,"The character doesn't 'get' normal people, whether by dint of their upbringing, social circles, physical and mental state, or power. Usually, they have a few points of friction with others due to differences in their day to day routine, which can result in arguments, fights, and allies being pushed away.","Upright: Emotional security, calm, intuitive, compassionate.

Reversed: Emotional insecurity, co-dependency."
K🍷,Delusional,"The character believes their powers are more than a natural phenomenon and won't shut up about it. Magecraft, a deific touch, demons, or otherwise, their delusions cause people to be alienated, enforce certain compulsions on themselves, or otherwise.

As an alternative, the character was brought up around delusions and suffers from it. An antivaxxer parent, group of friends-turned-cultists, et cetera. This can have negative effects on their mental or physical health, or their past still haunts them to this day.","Upright: Emotional balance and control, generosity.

Reversed: Emotional manipulation, volatility."
A✪,Regrets,"Something great was within their grasp, but the character fucked up. They're constantly reminded of their failure, whether this is a constant or something triggered by specific situations or images. They overthink their actions, potentially sabotaging themselves as they work toward their goals.","Upright: Manifestation, new financial opportunity

Reversed: Lost opportunity, lack of planning/foresight."
2✪,Overextended,"Through some fault of the character or their life situation, the character has to juggle many - possibly conflicting - interests and ties. At first, this may give them simple objectives to work towards with minor penalties on failure, ramping up into character-defining decisions and lose-lose situations.","Upright: Balance, adaptability, time management.

Reversed: Disorganization, financial disarray."
9✪,Too Deep,"Whatever the character's past, they've dug themselves into a hole that they can't get out of. They may be part of a fracturing faction filled with infighting, a marriage gone sour and abusive, et cetera, but in all cases the character would rather go down with the ship than abandon it. When it finally collapses on the character, they suffer moderate penalties and move on to their next focus of obsession.","Upright: Gratitude, luxury, self-sufficiency.

Reversed: Over-investment in work, financial setbacks."
P✪,Wastrel,"Accumulated assets and money are spent fast, perhaps faster than they can be gained. The character might be a partier, not a savvy saver, or have other issues that result in this flaw. Their hard assets have a tendency to be lost or broken, they impulse buy or have to waste a lot of money on some habit, they misplace important information, et cetera.","Upright: Manifestation, financial opportunity, new role

Reversed: Lack of progress, short-term focus."
S✪,Rigid,"Either on a macro, or a micro level, you're inflexible. Could be your worldview, sticking to how you were raised, whether it be staunch traditionalist values, or someone who believes the past should be discarded completely. You might have certain touchstones - a weapon, a piece of clothing, a diner - which if threatened or destroyed, inflicts penalities on you. ","Upright: Efficiency, routine, conservatism.

Reversed: Laziness, boredom, feeling 'stuck'."
K✪,Ambitious,"Think Starscream. The character has an intrinsic need to be at the top. They feel a deep urge to take down the guy at the top and instate themselves in that place. This often starts at insults or insubordination, but they must continually top prior acts of disrespect - oft leading to outright backstabbing. If already at the top of their group, the itch will return as they aim towards expanding their group's control, even to the extent of city-wide dominance.","Upright: Security, power, control, discipline, abundance.

Reversed: Authoritative, controlling, domineering."
2⚔,Filibuster,"When the character tries to do something, there is always an opposing force that halts their efforts. This can be an adversary actively working to undercut them, a social group engineering things against their favour, or something else entirely as befits the character. The character may have to spend more resources, time, effort and/or manpower to deal with this resistive force.","Upright: Indecision, choices, truce, stalemates, blocked emotion.

Reversed: Indecision, confusion, information overload."
4⚔,Self-Destruct,"Some people are their own worst enemies, and this character is that in a nutshell. Self-destructive behaviour defines a majority of their attitude and actions. While working towards their goals, they may find themselves taking actions that run counter to said goals.","Upright: Contemplation, recuperation, passivity, relaxation.

Reversed: Restlessness, burn-out, lack of progress."
6⚔,Lethe,"Something horrible is buried in the character's subconscious and they are not aware of it. They may have repressed this trauma, been forced to forget, or aren't aware of the true importance of something major. In any case, this will come back to haunt them in the future, for example from others in the know coming after them.","Upright: Regretful but necessary transition, rite of passage.

Reversed: Cannot move on, carrying baggage"
7⚔,Paranoia,"A sword of Damocles hangs over the character's head, or they think it does. There's a likelihood that the character will be betrayed by allies, and the betrayal will be bad. They may alternatively think that such a betrayal is coming and push others away, distancing themselves from allies in a time of need. ","Upright: Betrayal, deception, getting away with something, stealth.

Reversed: Mental challenges, breaking free."
8⚔,Fettered,"The character is bound by a code or ideology they have a hard time straying from. Inability to hurt a group, religious extremism, unwillingness to attack those of a certain caliber, et cetera. Failing to stick to this code or ideology results in penalties, severity determined by how badly the code was broken.","Upright: Isolation, self-imposed restriction.

Reversed: Open to new perspectives, release."
9⚔,Life Ruined Powers,"Roll on the power flaw chart twice. Such was the impact of the character’s personality, lifestyle, history, or otherwise on the way their power manifested. ","Upright: Depression, nightmares, anxiety.

Reversed: Hopelessness, depression, torment."
P⚔,Grating Presence,"For some reason innate or learnt, the character is hard to get along with. Their voice and mannerisms may set people on edge, their attitude or beliefs may be extreme, or something else fitting the character. In any case, this makes working with the character *hard* for extended periods of time.","Upright: Talkative, curious, mentally restless.

Reversed: Bark without bite, haste making waste, undelivered promises."
S⚔,Addition,"The character begins the game addicted to drugs or other such addictive substances. Alcohol, nicotine, cocaine, meth, heroin are common choices. This is socially detrimental, a draw on their income, or damages their mind and body. Having access to a steady supply of drugs may ameliorate these issues on a surface level while digging the character a deeper hole overall.","Upright: Opinionated, hasty, action-oriented, communicative.

Reversed: Scattered thought, disregard for consequences."
Q⚔,Toxic Personality,"There are some who are calming to be around - this character is the opposite. Whether because they're abrasive or unpleasant, incapable of normal socialization or something in that vein, others would require the patience of a saint to put up with them. They may even exaggerate the issues of others by being around them.","Upright: Quick thinking, organized, perceptive, independent.

Reversed: Overly emotional, bitchy, cold-hearted."
K⚔,Dominoes,"The character is in a precarious position, posed to collapse dramatically at some point. A toxic, volatile group may form around them, they acquire many clashing responsibilities, they take on too many tasks, et cetera. When this comes to a head, the character is left devastated and recovery is slow, if possible.","Upright: Clear thought, intellectual power, authority, truth.

Reversed: Manipulative, tyrannical, abusive."
A⚚,Hedonist,"The character is interested in self-pleasure above all else. This tends to impact their priorities and their physical condition. May include regular imbibing of drugs, reckless and ill-advised sexual liasons, or overindulgence in other things, such as food. They typically have multiple vices rather than one major one, favoring a breadth of riskier experiences over an obsessive attachment to one, their body likely bears the scars or effects of past indulgences, and/or they regularly prioritize pleasure over responsibility, with the fallout that follows.","Upright: Inspiration, power, creation

Reversed: Delays, lack of motivation, burdens."
4⚚,Illiteracy,"The character lacks the ability to read, write, or use technology. This can be from brain injuries, a power factor, or just sheer inability. Alternatively, they are socially illiterate, unable to notice the 'mood' of a group and read the context. Depending on character, can manifest in multiple aspects. ","Upright: Celebration, home, community.

Reversed: Breakdown in communication, transitions."
5⚚,Coward,"The character is a coward, though they may call themselves ""risk-averse"" or ""conflict-avoidant"". Taking early hits or being near to the center of a fight spooks the character, or they look towards running from a fight more often than not, or otherwise as fits the backstory. ","Upright: Disagreement, competition, strife, tension and conflict.

Reversed: Conflict avoidance, diversity, unhappy compromise."
Fool,Scelesta,"The character went from bad to worse, and the blame lies with them and their choices. The player picks a life flaw and gains it, doubled down. ","Upright: Innocence, spontaneity, free spirit, potential.

Reversed: Naivety, foolishness, risk-taking."
Magi,Mental Problems,"The character has a severe mental illness of some sort. Schizophrenia, obsessive compulsive disorder, a cognitive impairment, or otherwise. In any case, it either lowers their general quality of life, makes one type of task nigh impossible, or both.","Upright: Power, skill, concentration, action

Reversed: Manipulation, poor planning, latent talents"
Empress,Silentium,"The character's ability to speak or communicate is hampered.  May be unable to talk altogether, but expressive with body language or writing, might need assistance via. devices, have a language barrier, or simply struggle on a consistent basis due to speech/writing difficulties across the board.","Upright: Fertility, femininity, beauty, nature

Reversed: Creative block, dependence on others"
Empreror,Oblatio,"The character is subservient to another, and this other demands something from them consistently. A family member, a gang with blackmail over the character, a cluster member who holds some critical weakness in their hands. Getting out of the clutches of this demanding other is hard, even impossible, and failing to provide offerings will result in punishments, sabotaged plans, et cetera.","Upright: Authority, father-figure, structure, foundation.

Reversed: Domination, excessive control, rigidity, inflexibility"
Strength,Adlifctus,"The character is damaged, hollowed out, depressed and vulnerable due to past trauma. Detrimental emotional states stay with them longer, they lash out at friends and family, they are particularly vulnerable to mental and emotional power effects, or otherwise as fits the character.","Upright: Strength, courage, patience, control, compassion

Reversed: Weakness, self-doubt, lack of discipline"
Hermit,Finem Mane,"Change comes sudden, and not all can handle it, certainly not this character. Some great upheaval in their past cut the narrative of their life into tatters, severing connections and support systems they would have had. As a result, the character starts off isolated, becomes withdrawn, has recurring trauma, or something fitting the devastating change they underwent.","Upright: Soul searching, introspection, being alone, inner guidance

Reversed: Isolation, loneliness, withdrawal"
Wheel of Fortune,Rock Bottom,"An issue consumes the individual, but it's not all bad. Roll again for life flaw. Double down on the strength of the resulting flaw. Roll three times for a life perk. GM vetoes one and player vetoes one. Take remaining pick.","Upright: Good luck, karma, life cycles, destiny, a turning point

Reversed: Bad luck, negative external forces, out of control"
Justice,Past Crimes,"This character did something bad, or someone thinks they did. From the outset, they are stuck with the negative reputation of someone repulsive, dangerous, or more. Steps can be taken to alleviate this reputation, but their past will catch up in one way or another.","Upright: Justice, fairness, truth, cause-and-effect, law

Reversed: Unfairness, lack of accountability, dishonesty"
Death,Nex,"Something is out for the character, be it an influential public figure, a specific group, their history, or the effects of their power. This leaves the character outclassed, outgunned, out of their depth, with large incentives for those that manage to take them down. Surviving with this mark on their head is taxing and escape is most likely impossible.","Upright: Endings, beginnings, change, transformation, transition

Reversed: Resistance to change, unable to move on."
Temperance,Calamitas,"The character is a train wreck, and they have a way of making their problems into other people's problems. Drama surrounds them or they ruin people they interact with. Roll another life flaw. That flaw is manageable by diverting the negative energies at others, making people around them miserable.","Upright: Balance, moderation, patience, purpose

Reversed: Imbalance, excess, lack of long-term vision"
Devil,Nemesis,"The character has an opponent in the area with a vendetta, either working actively against the character or manipulating things behind the scenes. Failing to deal with the nemesis will result in continual encounters with them, with consequences such as damaged assets, severe wounds, allies found mutilated, or even death.","Upright: Bondage, addiction, sexualism, materialism

Reversed: Detachment, breaking free, power reclaimed"
Tower,Conmissum,"The character has a secret that threatens to ruin them.  Should it come out, ripple effects will affect them in reputation, power, available assets, or psychological well being. A weak point, either literal or psychological, a trauma of their past, or a dark deed they once committed, of the sort that would turn even scummy villain friends into serious enemies. Others who get close to the character may gradually pick up on clues, including enemies who associate with them with any frequency.","Upright: Disaster, upheaval, sudden change, revelation

Reversed: Avoiding disaster, fear of change"
Star,Minui,"The character suffers from a deep internal conflict, and the two ideals or beliefs in contest are not easily given up or reconciled. Depending on what the nature of this internal conflict is, the character develops negative quirks or a tendency to take self-destructive actions as befits the conflict, or otherwise.","Upright: Hope, spirituality, renewal, serenity

Reversed: Lack of faith, despair, discouragement"
Moon,Insciens,"The character has a number of mental hang-ups and assorted traumas that hamper their ability to act. Depending on the nature of their mental obstacles, the character may be unable to discuss or listen to certain topics, develop odd tendencies as befits the trauma, or otherwise.","Upright: Illusion, fear, anxiety, insecurity, subconscious

Reversed: Release of fear, unhappiness, confusion"
Sun,Infirma,"The character is hampered by a physical problem, real or imagined. Depending on the nature of this flaw, the character does worse in specific physical challenges, develops negative lines of thought, or otherwise as fits the problem at hand.","Upright: Fun, warmth, success, positivity, vitality

Reversed: Temporary depression, lack of success"
Judgement,Mortem Volo,"Some part of the character's self-identity is hatred and loathing, and it is all directed at a specific idea or abstract concept. This can be anything from a political philosophy to an approach to life that they just can't stand. When facing such, the character reacts with anger, violence, or some other fitting negativity.","Upright: Judgement, rebirth, inner calling, absolution

Reversed: Self doubt, refusal to look inward"
World,Ruin,"Something is fundamentally wrong about this character. A part of their basic morality breaks core human precepts, common sensibility and decency, the unwritten rules, or some combination of the above and more. This violation may be so bad that even the worst villain factions find the character repulsive to be around, a tool to be used at best.","Upright: Completion, accomplishment

Reversed: Incomplete, lack of closure"
